Year,Female,Male,Missing/Unknown
2017 Q1,866,2129,8
2017 Q2,798,2127,11
2017 Q3,876,2165,11
2017 Q4,804,1911,12
2018 Q1,796,2025,8
2018 Q2,790,1942,4
2018 Q3,795,2080,2
2018 Q4,739,1723,2
2019 Q1,691,1840,1
2019 Q2,730,1739,7
2019 Q3,701,1741,7
2019 Q4,597,1603,7
2020 Q1,542,1402,6
2020 Q2,304,784,1
2020 Q3,397,1017,3
2020 Q4,387,999,7
2021 Q1,388,1072,8
2021 Q2,401,1162,11
2021 Q3,465,1320,27
2021 Q4,489,1193,28
2022 Q1,425,1276,35
2022 Q2,451,1312,24
2022 Q3,508,1367,33
2022 Q4,489,1220,14
