Year,17 and Below,18-24,25-34,35-44,45-54,55-64,65 and Above,Missing
2017 Q1,69,827,981,485,381,151,32,389
2017 Q2,90,777,1012,471,400,160,41,335
2017 Q3,87,792,1017,543,381,167,47,138
2017 Q4,72,724,906,508,331,142,28,411
2018 Q1,52,757,931,497,355,147,39,359
2018 Q2,54,727,1015,552,401,163,33,310
2018 Q3,41,680,995,518,379,190,49,161
2018 Q4,47,579,880,492,288,164,35,367
2019 Q1,53,584,853,509,298,170,37,338
2019 Q2,40,603,845,450,318,154,49,260
2019 Q3,40,514,836,515,341,151,34,114
2019 Q4,53,495,755,459,267,126,41,345
2020 Q1,42,428,620,406,266,132,33,650
2020 Q2,5,226,345,246,160,86,13,108
2020 Q3,11,261,511,290,168,91,22,150
2020 Q4,17,299,504,271,194,105,19,200
2021 Q1,26,342,518,284,163,94,9,253
2021 Q2,17,350,500,298,186,112,30,252
2021 Q3,13,390,619,370,203,101,21,160
2021 Q4,24,371,581,312,188,110,21,446
2022 Q1,28,360,595,330,169,99,28,364
2022 Q2,23,362,614,327,218,108,36,291
2022 Q3,15,371,622,407,231,136,34,176
2022 Q4,16,375,564,375,190,140,35,310
