Year,Female,Male,Missing/Unknown
2017 Q1,854,2087,374
2017 Q2,811,2148,327
2017 Q3,877,2166,129
2017 Q4,810,1913,399
2018 Q1,788,2000,349
2018 Q2,841,2124,290
2018 Q3,782,2088,143
2018 Q4,753,1749,350
2019 Q1,689,1828,325
2019 Q2,726,1745,248
2019 Q3,696,1748,101
2019 Q4,602,1614,325
2020 Q1,538,1407,632
2020 Q2,306,790,93
2020 Q3,387,997,120
2020 Q4,401,1024,184
2021 Q1,387,1080,222
2021 Q2,390,1126,229
2021 Q3,446,1288,143
2021 Q4,488,1156,409
2022 Q1,411,1212,350
2022 Q2,432,1275,272
2022 Q3,494,1342,156
2022 Q4,499,1218,288
