State,Count
Alabama,27
Arkansas,2
Arizona,7
California,45
Colorado,10
Connecticut,11
District of Columbia,2117
Delaware,43
Florida,114
Georgia,73
Hawaii,1
Iowa,1
Idaho,2
Illinois,16
Indiana,11
Kansas,5
Kentucky,3
Louisiana,17
Massachusetts,12
Maryland,45440
Maine,1
Michigan,19
Minnesota,5
Missouri,20
Mississippi,10
Montana,2
North Carolina,276
North Dakota,1
Nebraska,4
New Hampshire,6
New Jersey,71
New Mexico,5
Nevada,3
New York,86
Ohio,27
Oklahoma,4
Oregon,2
Pennsylvania,111
Rhode Island,1
South Carolina,72
South Dakota,1
Tennessee,24
Texas,64
Utah,1
Virginia,2273
Washington,6
Wisconsin,3
West Virginia,55
