Year,Black,White
2017 Q1,28.62453532,33.00970874
2017 Q2,18.48341232,27.35229759
2017 Q3,26.77345538,27.16049383
2017 Q4,33.81165919,27.92607803
2018 Q1,25.67145534,25.80128205
2018 Q2,31.86510668,37.70794824
2018 Q3,24.89270386,22.122571
2018 Q4,23.77531025,21.30872483
2019 Q1,27.22478576,26.4516129
2019 Q2,34.77588872,39.51434879
2019 Q3,20.57562768,18.54103343
2019 Q4,20.59846903,19.65317919
2020 Q1,23.08326463,23.09468822
2020 Q2,0.701262272,2.21402214
2020 Q3,58.42696629,54.90196078
2020 Q4,29.04656319,22.52747253
2021 Q1,7.849829352,10.63829787
2021 Q2 ,14.65020576,16.48106904
2021 Q3,21.39699381,21.14014252
2021 Q4,15.09846827,12.18568665
2022 Q1,11.97452229,11.15241636
2022 Q2,16.53481013,16.07142857
2022 Q3,18.21862348,17.30279898
2022 Q4,16.97635135,17.23163842
