Year,Black,White
2017 Q1,1.115241636,2.912621359
2017 Q2,0.789889415,2.188183807
2017 Q3,1.258581236,1.728395062
2017 Q4,1.434977578,4.928131417
2018 Q1,0.811992505,1.602564103
2018 Q2,1.238816242,4.066543438
2018 Q3,1.22624157,1.494768311
2018 Q4,0.91443501,1.510067114
2019 Q1,0.856954515,1.935483871
2019 Q2,1.622874807,3.090507726
2019 Q3,1.041028781,2.127659574
2019 Q4,0.695894224,2.119460501
2020 Q1,0.659521847,3.002309469
2020 Q2,0,0.36900369
2020 Q3,7.865168539,15.68627451
2020 Q4,2.66075388,2.197802198
2021 Q1,1.023890785,2.127659574
2021 Q2 ,1.069958848,2.227171492
2021 Q3,1.237842617,2.850356295
2021 Q4,0.875273523,2.127659574
2022 Q1,1.52866242,1.858736059
2022 Q2,0.553797468,1.488095238
2022 Q3,0.4048583,1.781170483
2022 Q4,0.675675676,2.259887006
