Year,Female,Male,Missing/Unknown
2017 Q1,231,154,2618
2017 Q2,253,144,2539
2017 Q3,214,158,2680
2017 Q4,172,134,2421
2018 Q1,228,145,2456
2018 Q2,244,138,2354
2018 Q3,259,126,2492
2018 Q4,269,171,2024
2019 Q1,264,179,2089
2019 Q2,281,177,2018
2019 Q3,283,203,1963
2019 Q4,287,170,1750
2020 Q1,235,138,1577
2020 Q2,237,123,729
2020 Q3,252,129,1036
2020 Q4,210,125,1058
2021 Q1,179,110,1179
2021 Q2,197,120,1257
2021 Q3,225,130,1457
2021 Q4,224,125,1361
2022 Q1,188,116,1432
2022 Q2,191,112,1484
2022 Q3,192,130,1586
2022 Q4,218,99,1406
