Year,Black,White,Other,Missing/Unknown
2017 Q1,201,158,5,2639
2017 Q2,226,156,1,2553
2017 Q3,219,132,7,2694
2017 Q4,193,98,7,2429
2018 Q1,197,157,3,2472
2018 Q2,245,106,9,2376
2018 Q3,236,114,15,2512
2018 Q4,239,147,15,2063
2019 Q1,269,135,11,2117
2019 Q2,290,127,15,2044
2019 Q3,303,135,12,1999
2019 Q4,268,143,10,1786
2020 Q1,219,132,3,1596
2020 Q2,217,104,14,754
2020 Q3,214,135,8,1060
2020 Q4,199,106,6,1082
2021 Q1,158,111,4,1195
2021 Q2,173,117,4,1280
2021 Q3,198,121,10,1483
2021 Q4,202,111,8,1389
2022 Q1,189,90,7,1450
2022 Q2,197,84,4,1502
2022 Q3,215,89,7,1597
2022 Q4,187,108,6,1422
