,,,Year,,,,
Case Status,2017,2018,2019,2020,2021,2022,Grand Total
ACS Import,16,15,13,4,14,7,69
Active,735,426,248,272,236,263,2180
Appealed,1,,10,8,9,8,36
Closed,304,462,566,608,798,1086,3824
Closed / Active,,,,,,2,2
Expunged,2,,,,,,2
Inactive,4,2,10,3,11,2,32
Indicted,,,,,2,1,3
Investigation,2,24,12,2,,,40
NULL,,,,7,10,1,18
Reopened,29,33,57,57,58,35,269
Screening,154,635,392,226,249,18,1674
Trial,,,,1,,,1
Warrant,42,56,43,39,41,32,253
Grand Total,1289,1653,1351,1227,1428,1455,8403
